name,salary,sprocket_player_id,member_id,discord_id,skill_group,franchise,Franchise Staff Position,slot,current_scrim_points,Eligible Through
Poppa Woody,9.5,1452,1477,134120966866468866,Foundation League,FP,NA,NONE,0,Not Eligible
T3nshuN,12.5,1327,1351,230712102875037706,Academy League,FP,NA,NONE,0,Not Eligible
Pyojun,17.0,5389,5447,660888953662210059,Master League,FP,NA,NONE,0,Not Eligible
Tomez,11.0,573,580,133629351299252224,Academy League,FP,NA,NONE,0,Not Eligible
JustABlade,14.5,3682,3741,685894897269735635,Champion League,Pend,NA,NONE,0,Not Eligible
Particlect,10.5,1799,1857,535212071734739005,Academy League,FP,NA,NONE,0,Not Eligible
saucy,17.5,5347,5405,294192902303776768,Master League,FP,NA,NONE,0,Not Eligible
Divinebull,11.5,5278,5336,562456628306116608,Academy League,Bears,NA,PLAYERF,0,Not Eligible
ARC BBALL22,18.0,3718,3777,631162459213922304,Master League,Sharks,NA,PLAYERA,0,Not Eligible
jacobjtl,10.5,1657,1687,536261153534378014,Academy League,FP,NA,NONE,0,Not Eligible
DODO,11.0,4560,4619,315979486757912577,Academy League,FP,NA,NONE,0,Not Eligible
VexingVertigo,19.0,5613,5672,296809304332173312,Premier League,FP,NA,NONE,0,Not Eligible
Lundo,16.5,323,328,209407832326406145,Master League,FP,NA,NONE,0,Not Eligible
brade,15.5,5315,5373,589150995510984705,Master League,FP,NA,NONE,0,Not Eligible
ZombietheKing,7.0,5598,5657,522802005165735937,Foundation League,FP,NA,NONE,0,Not Eligible
Shay,12.5,484,490,113051605493899264,Academy League,FP,NA,PLAYERD,0,Not Eligible
Saga,16.5,4639,4698,691824870547521617,Master League,FP,NA,NONE,0,Not Eligible
Kiimmmiiii,13.0,277,281,237969593727975425,Champion League,FP,NA,NONE,0,Not Eligible
Ghostsniper,11.5,6162,6207,1249398289871409172,Academy League,FP,NA,NONE,0,Not Eligible
Banana,7.0,4317,4376,222201676977799169,Foundation League,FP,NA,NONE,0,Not Eligible
Jacob,15.5,1893,1951,192786955992301578,Master League,FP,NA,NONE,0,Not Eligible
Triky,17.0,5544,5603,385617438055727105,Master League,FP,NA,NONE,0,Not Eligible
Scrxpz,16.5,3487,3546,261278994924568577,Master League,Aviators,NA,NONE,0,Not Eligible
hotsaucethepirate,14.5,211,215,329083759397699586,Champion League,FP,NA,NONE,0,Not Eligible
Drewski,14.5,5038,5096,716925887626477589,Champion League,Spartans,NA,PLAYERE,0,Not Eligible
